link_id,from_node_id,to_node_id,facility_type,dir_flag,length,lanes,capacity,free_speed,link_type_name,link_type,cost,geometry,original_link_id,original_node_id,main_node_id,movement_str,TMC
60,17401,18100,,,235.1424400852072,1,nan,120.0,motorway,1,,"LINESTRING (-112.06866 33.42826,-112.06847 33.4282,-112.06739 33.42826,-112.0668 33.42829,-112.06625 33.42835,-112.06615 33.42834)",60,,,,
61,28502,1400,,,320.05941064149397,1,nan,120.0,motorway,1,,"LINESTRING (-112.08656 33.42959,-112.08636 33.42952,-112.08558 33.42945,-112.08401 33.42917,-112.08341 33.42905,-112.08319 33.429)",61,,,,
62,18800,18401,,,299.4991005984081,1,nan,120.0,motorway,1,,"LINESTRING (-112.08333 33.42975,-112.08351 33.42974,-112.08398 33.42974,-112.08549 33.42977,-112.08633 33.42979,-112.08654 33.42973)",62,,,,
63,18601,28000,,,39.77040810943409,3,nan,88.0,motorway,1,,"LINESTRING (-112.09968 33.42898,-112.10011 33.42896)",63,,,,
64,7202,6602,,,1179.017917594454,4,nan,104.0,motorway,1,,"LINESTRING (-112.04563 33.46181,-112.04093 33.46179,-112.04041 33.46174,-112.04 33.46166,-112.03964 33.46156,-112.03932 33.46142,-112.0389 33.46118,-112.03862 33.46099,-112.03831 33.46071,-112.03806 33.46044,-112.03785 33.46014,-112.03769 33.45986,-112.03758 33.45953,-112.03751 33.45924,-112.03746 33.45889,-112.03746 33.45794,-112.03751 33.4567)",64,,,,
65,19300,19400,,,82.72250026225845,1,nan,72.0,motorway,1,,"LINESTRING (-112.03711 33.44337,-112.03703 33.44384,-112.03699 33.44411)",65,,,,
66,19400,19500,,,62.82598490763273,1,nan,72.0,motorway,1,,"LINESTRING (-112.03699 33.44411,-112.03694 33.44442,-112.03688 33.44467)",66,,,,
67,19500,32400,,,128.80632715299237,1,nan,72.0,motorway,1,,"LINESTRING (-112.03688 33.44467,-112.03678 33.44516,-112.03672 33.44554,-112.03668 33.44582)",67,,,,
68,19601,14001,,,70.46733110799525,5,nan,104.0,motorway,1,,"LINESTRING (-112.03713 33.44412,-112.03713 33.44475)",68,,,,
69,14001,20300,,,256.40596972928756,5,nan,104.0,motorway,1,,"LINESTRING (-112.03713 33.44475,-112.03712 33.44707)",69,,,,
70,13400,19700,,,70.38976212238549,4,nan,104.0,motorway,1,,"LINESTRING (-112.0376 33.44476,-112.0376 33.44413)",70,,,,
71,1201,3200,,,164.14160615178406,5,nan,104.0,motorway,1,,"LINESTRING (-112.03761 33.44302,-112.03758 33.44154)",71,,,,
72,19801,19901,,,64.04517368327598,1,nan,48.0,motorway,1,,"LINESTRING (-112.03782 33.44468,-112.03772 33.44411)",72,,,,
73,20001,45100,,,154.5260410325036,1,nan,72.0,motorway,1,,"LINESTRING (-112.03819 33.44383,-112.03818 33.44284,-112.03817 33.44243)",73,,,,
74,20100,20001,,,88.65640394206666,1,nan,72.0,motorway,1,,"LINESTRING (-112.0382 33.44463,-112.03819 33.44383)",74,,,,
75,43501,3402,,,521.0160292354831,5,nan,104.0,motorway,1,,"LINESTRING (-112.06655 33.46213,-112.06625 33.46211,-112.06487 33.462,-112.06404 33.46193,-112.06321 33.46187,-112.06237 33.46181,-112.06178 33.46177,-112.06096 33.46174)",75,,,,
