link_id,from_node_id,to_node_id,time_period,duration_in_sec,state,state_code
26811,14279,14283,0615:41.000_0616:40.000,59,0,r
26811,14279,14283,0616:40.000_0617:21.000,41,1,g
26811,14279,14283,0617:21.000_0618:20.000,59,0,r
26811,14279,14283,0618:20.000_0619:01.000,41,1,g
26811,14279,14283,0619:01.000_0620:00.000,59,0,r
26811,14279,14283,0620:00.000_0620:41.000,41,1,g
26811,14279,14283,0620:41.000_0621:40.000,59,0,r
26811,14279,14283,0621:40.000_0622:21.000,41,1,g
26811,14279,14283,0622:21.000_0623:20.000,59,0,r
26811,14279,14283,0623:20.000_0624:01.000,41,1,g
26811,14279,14283,0624:01.000_0625:00.000,59,0,r
26811,14279,14283,0625:00.000_0625:41.000,41,1,g
26811,14279,14283,0625:41.000_0626:40.000,59,0,r
26811,14279,14283,0626:40.000_0627:21.000,41,1,g
26811,14279,14283,0627:21.000_0628:20.000,59,0,r
26811,14279,14283,0628:20.000_0629:01.000,41,1,g
26811,14279,14283,0629:01.000_0630:00.000,59,0,r
26811,14279,14283,0630:00.000_0630:41.000,41,1,g
26811,14279,14283,0630:41.000_0631:40.000,59,0,r
26811,14279,14283,0631:40.000_0632:21.000,41,1,g
26811,14279,14283,0632:21.000_0633:20.000,59,0,r
26811,14279,14283,0633:20.000_0634:01.000,41,1,g
26811,14279,14283,0634:01.000_0635:00.000,59,0,r
26811,14279,14283,0635:00.000_0635:41.000,41,1,g
26811,14279,14283,0635:41.000_0636:40.000,59,0,r
26811,14279,14283,0636:40.000_0637:21.000,41,1,g
26811,14279,14283,0637:21.000_0638:20.000,59,0,r
26811,14279,14283,0638:20.000_0639:01.000,41,1,g
26811,14279,14283,0639:01.000_0640:00.000,59,0,r
26811,14279,14283,0640:00.000_0640:41.000,41,1,g
26811,14279,14283,0640:41.000_0641:40.000,59,0,r
26811,14279,14283,0641:40.000_0642:21.000,41,1,g
26811,14279,14283,0642:21.000_0643:20.000,59,0,r
26811,14279,14283,0643:20.000_0644:01.000,41,1,g
26811,14279,14283,0644:01.000_0645:00.000,59,0,r
26811,14279,14283,0645:00.000_0645:41.000,41,1,g
26811,14279,14283,0645:41.000_0646:40.000,59,0,r
26811,14279,14283,0646:40.000_0647:21.000,41,1,g
26811,14279,14283,0647:21.000_0648:20.000,59,0,r
26811,14279,14283,0648:20.000_0649:01.000,41,1,g
26811,14279,14283,0649:01.000_0650:00.000,59,0,r
26811,14279,14283,0650:00.000_0650:41.000,41,1,g
26811,14279,14283,0650:41.000_0651:40.000,59,0,r
26811,14279,14283,0651:40.000_0652:21.000,41,1,g
26811,14279,14283,0652:21.000_0653:20.000,59,0,r
26811,14279,14283,0653:20.000_0654:01.000,41,1,g
26811,14279,14283,0654:01.000_0655:00.000,59,0,r
26811,14279,14283,0655:00.000_0655:41.000,41,1,g
26811,14279,14283,0655:41.000_0656:40.000,59,0,r
26811,14279,14283,0656:40.000_0657:21.000,41,1,g
26811,14279,14283,0657:21.000_0658:20.000,59,0,r
26811,14279,14283,0658:20.000_0659:01.000,41,1,g
26811,14279,14283,0659:01.000_0700:00.000,59,0,r
26811,14279,14283,0700:00.000_0700:41.000,41,1,g
26811,14279,14283,0700:41.000_0701:40.000,59,0,r
26811,14279,14283,0701:40.000_0702:21.000,41,1,g
26811,14279,14283,0702:21.000_0703:20.000,59,0,r
26811,14279,14283,0703:20.000_0704:01.000,41,1,g
26811,14279,14283,0704:01.000_0705:00.000,59,0,r
26811,14279,14283,0705:00.000_0705:41.000,41,1,g
26811,14279,14283,0705:41.000_0706:40.000,59,0,r
26811,14279,14283,0706:40.000_0707:21.000,41,1,g
26811,14279,14283,0707:21.000_0708:20.000,59,0,r
26811,14279,14283,0708:20.000_0709:01.000,41,1,g
26811,14279,14283,0709:01.000_0710:00.000,59,0,r
26811,14279,14283,0710:00.000_0710:41.000,41,1,g
26811,14279,14283,0710:41.000_0711:40.000,59,0,r
26811,14279,14283,0711:40.000_0712:21.000,41,1,g
26811,14279,14283,0712:21.000_0713:20.000,59,0,r
26811,14279,14283,0713:20.000_0714:01.000,41,1,g
26811,14279,14283,0714:01.000_0715:00.000,59,0,r
26811,14279,14283,0715:00.000_0715:41.000,41,1,g
26811,14279,14283,0715:41.000_0716:40.000,59,0,r
26811,14279,14283,0716:40.000_0717:21.000,41,1,g
26811,14279,14283,0717:21.000_0718:20.000,59,0,r
26811,14279,14283,0718:20.000_0719:01.000,41,1,g
26811,14279,14283,0719:01.000_0720:00.000,59,0,r
26811,14279,14283,0720:00.000_0720:41.000,41,1,g
26811,14279,14283,0720:41.000_0721:40.000,59,0,r
26811,14279,14283,0721:40.000_0722:21.000,41,1,g
26811,14279,14283,0722:21.000_0723:20.000,59,0,r
26811,14279,14283,0723:20.000_0724:01.000,41,1,g
26811,14279,14283,0724:01.000_0725:00.000,59,0,r
26811,14279,14283,0725:00.000_0725:41.000,41,1,g
26811,14279,14283,0725:41.000_0726:40.000,59,0,r
26811,14279,14283,0726:40.000_0727:21.000,41,1,g
26811,14279,14283,0727:21.000_0728:20.000,59,0,r
26811,14279,14283,0728:20.000_0729:01.000,41,1,g
26811,14279,14283,0729:01.000_0730:00.000,59,0,r
26811,14279,14283,0730:00.000_0730:41.000,41,1,g
26811,14279,14283,0730:41.000_0731:40.000,59,0,r
26811,14279,14283,0731:40.000_0732:21.000,41,1,g
26811,14279,14283,0732:21.000_0733:20.000,59,0,r
26811,14279,14283,0733:20.000_0734:01.000,41,1,g
26811,14279,14283,0734:01.000_0735:00.000,59,0,r
26811,14279,14283,0735:00.000_0735:41.000,41,1,g
26811,14279,14283,0735:41.000_0736:40.000,59,0,r
26811,14279,14283,0736:40.000_0737:21.000,41,1,g
26811,14279,14283,0737:21.000_0738:20.000,59,0,r
26811,14279,14283,0738:20.000_0739:01.000,41,1,g
26811,14279,14283,0739:01.000_0740:00.000,59,0,r
26811,14279,14283,0740:00.000_0740:41.000,41,1,g
26811,14279,14283,0740:41.000_0741:40.000,59,0,r
26811,14279,14283,0741:40.000_0742:21.000,41,1,g
26811,14279,14283,0742:21.000_0743:20.000,59,0,r
26811,14279,14283,0743:20.000_0744:01.000,41,1,g
26811,14279,14283,0744:01.000_0745:00.000,59,0,r
26811,14279,14283,0745:00.000_0745:41.000,41,1,g
26811,14279,14283,0745:41.000_0746:40.000,59,0,r
26811,14279,14283,0746:40.000_0747:21.000,41,1,g
26811,14279,14283,0747:21.000_0748:20.000,59,0,r
26811,14279,14283,0748:20.000_0749:01.000,41,1,g
26811,14279,14283,0749:01.000_0750:00.000,59,0,r
26811,14279,14283,0750:00.000_0750:41.000,41,1,g
26811,14279,14283,0750:41.000_0751:40.000,59,0,r
26811,14279,14283,0751:40.000_0752:21.000,41,1,g
26811,14279,14283,0752:21.000_0753:20.000,59,0,r
26811,14279,14283,0753:20.000_0754:01.000,41,1,g
26811,14279,14283,0754:01.000_0755:00.000,59,0,r
26811,14279,14283,0755:00.000_0755:41.000,41,1,g
26811,14279,14283,0755:41.000_0756:40.000,59,0,r
26811,14279,14283,0756:40.000_0757:21.000,41,1,g
26811,14279,14283,0757:21.000_0758:20.000,59,0,r
26811,14279,14283,0758:20.000_0759:01.000,41,1,g
26811,14279,14283,0759:01.000_0800:00.000,59,0,r
26811,14279,14283,0800:00.000_0800:41.000,41,1,g
26811,14279,14283,0800:41.000_0801:40.000,59,0,r
26811,14279,14283,0801:40.000_0802:21.000,41,1,g
26811,14279,14283,0802:21.000_0803:20.000,59,0,r
26811,14279,14283,0803:20.000_0804:01.000,41,1,g
26811,14279,14283,0804:01.000_0805:00.000,59,0,r
